dataset,method,mae_mean,mae_std,ac_mean,ac_std,n_seeds
CMP2,SARC,0.23265975131234548,0.001160398988007314,0.07929089428644565,0.0030394478884323193,5
CMP2,SARC-no-drift,0.23045916026819202,0.0029710124962431597,0.08548401656626911,0.0031428552867805663,5
CMP2,BC,0.24562130208823643,0.0031346764955957947,0.07397471858628009,0.002283848188527534,5
CMP1,SARC,0.4916825331570062,0.0006814892238731176,0.12134984897632514,0.009617359146987938,5
CMP1,SARC-no-drift,0.49180957775054146,0.0004420497186595783,0.12837555854340937,0.010050062493964784,5
CMP1,BC,0.4939110087846448,0.0017160424108853026,0.13128565096784112,0.016396103964373483,5
Sim-Mild,SARC,0.26889461527048997,0.005626524071877199,0.3212506284536555,0.017842638045973087,5
Sim-Mild,SARC-no-drift,0.2987910704668201,0.0069888124394853444,0.3814333316731341,0.10234052919094389,5
Sim-Mild,BC,0.3232754766837168,0.015436350238949178,0.283802098028293,0.04315001110548488,5
Sim-Medium,SARC,0.3333446159591153,0.005922649648388918,0.3344817877206084,0.026812644956839292,5
Sim-Medium,SARC-no-drift,0.37071553880089736,0.009791046629918065,0.4253601129528226,0.06078210733407278,5
Sim-Medium,BC,0.40206175529321503,0.02529331303199667,0.27119228819504415,0.028243991326063,5
